student_id,cgpa,Department,course_1_name,course_1_grade,Course_1_effect_cgpa,course_2_name,course_2_grade,Course_2_effect_cgpa,course_3_name,course_3_grade,Course_3_effect_cgpa,course_4_name,course_4_grade,Course_4_effect_cgpa,open_elective_1_name,open_elective_1_grade,open_elective_1_effect_cgpa,open_elective_2_name,open_elective_2_grade,open_elective_2_effect_cgpa,open_elective_3_name,open_elective_3_grade,open_elective_3_effect_cgpa,skills_1,skills_2,skills_3,Technical_skill_1,Technical_skill_2
RA2103104600697,7.72,CINTEL,Digital Product Management,F,bad,Digital Product Launch,B,bad,Web Development Tools,B,bad,User Interface Design,F,bad,Culinary Arts,C,bad,Health and Wellness,F,bad,Introduction to Archaeology,C,bad,team leadership,financial analysis,analytical thinking,Scala,Express.js
RA2103019343120,5.14,NWC,User Experience Design,F,bad,IT Service Management,C,bad,Digital Advertising Campaigns,C,bad,Information Systems Audit,B,bad,Introduction to Environmental Geography,B,bad,Introduction to Environmental Linguistics,F,bad,Introduction to Sustainable Agriculture,B,bad,branding,event marketing,time management,Network Administration,Troubleshooting
RA2121141570823,9.65,CTECH,Health Informatics,A,good,IT Project Portfolio Management,A+,bad,Business Process Reengineering,A,good,Digital Health Technologies,A,good,Introduction to Environmental Physics,O,bad,Introduction to Sustainable Agriculture,A+,good,Introduction to Game Design,A+,good,financial planning,event production,budgeting,Vue.js,Cloud Computing
RA2120010755777,7.1,NWC,IT Infrastructure Management,C,good,Data Visualization Techniques,F,good,Artificial Intelligence Ethics,C,good,Predictive Modeling Techniques,C,good,Introduction to Public Health,F,good,Introduction to Economics,B,good,Introduction to Environmental Design,C,good,customer relationship management,survey design,web analytics,Jenkins,Python
RA2103010184212,5.17,NWC,Blockchain Development,F,bad,User Interface Design,B,bad,Data Privacy Regulations,F,bad,Digital Communication Strategies,B,bad,Introduction to Environmental Economics,F,bad,Introduction to Environmental Economics,B,bad,Introduction to Environmental Physics,B,bad,negotiation,data visualization,social networking,CakePHP,SOAP
RA2123124013831,7.26,DSBS,Data Science Techniques,B,good,Web Development Tools,B,good,Mobile App Testing,C,good,Web Development Tools,F,good,Introduction to Environmental Law,B,good,Introduction to Environmental Law,C,good,Introduction to Environmental Geology,C,good,branding,video production,problem solving,Angular,Docker
RA2103212614969,9.99,CTECH,Wireless Networking Technologies,A,bad,Machine Learning Algorithms,A,bad,Big Data Processing,A,bad,Artificial Intelligence Ethics,O,bad,Introduction to Environmental Economics,O,bad,Introduction to Environmental Marine Biology,O,bad,Introduction to Environmental Bioinformatics,A+,good,problem solving,business development,content management,Mobile Development,Vue.js
RA2111005772835,6.64,NWC,Web Development Tools,F,bad,Data Privacy Regulations,C,bad,Digital Communication Strategies,B,bad,Supply Chain Optimization,B,bad,Environmental Sustainability,C,bad,Introduction to Environmental Science,F,bad,Introduction to Environmental Sociology,C,bad,data analysis,content management,accounting,Continuous Deployment,MongoDB
RA2113294616970,7.04,CINTEL,Web Development Frameworks,F,bad,Digital Content Creation,C,bad,Digital Health Technologies,F,bad,Database Management Systems,F,bad,Introduction to Philosophy,B,bad,Introduction to Environmental Sociology,B,bad,Introduction to Environmental Design,C,bad,business development,survey design,project coordination,IT Infrastructure,Ember.js
RA2121070720470,5.85,NWC,Social Media Marketing,C,good,E-commerce Platforms,F,good,IT Governance Frameworks,C,good,User Experience Design,B,good,Introduction to Environmental Literature,C,good,Introduction to Environmental Marine Biology,B,good,Introduction to Geology,C,good,event marketing,content management,market analysis,jQuery,Less
